,Athlete,Country,Medal,Olympic,Sport
0,"HAJOS, Alfred",['HUN'],"[['Gold'], [2]]","[['Athens'], [1896]]",['Aquatics']
1,"HERSCHMANN, Otto",['AUT'],"[['Silver'], [2]]","[['Athens', 'Stockholm'], [1896, 1912]]","['Aquatics', 'Fencing']"
2,"DRIVAS, Dimitrios",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Aquatics']
3,"MALOKINIS, Ioannis",['GRE'],"[['Gold'], [1]]","[['Athens'], [1896]]",['Aquatics']
4,"CHASAPIS, Spiridon",['GRE'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Aquatics']
5,"CHOROPHAS, Efstathios",['GRE'],"[['Bronze'], [2]]","[['Athens'], [1896]]",['Aquatics']
6,"ANDREOU, Joannis",['GRE'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Aquatics']
7,"NEUMANN, Paul",['AUT'],"[['Gold'], [1]]","[['Athens'], [1896]]",['Aquatics']
8,"PEPANOS, Antonios",['GRE'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Aquatics']
9,"LANE, Francis",['USA'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Athletics']
10,"SZOKOLYI, Alajos",['HUN'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Athletics']
11,"BURKE, Thomas",['USA'],"[['Gold'], [2]]","[['Athens'], [1896]]",['Athletics']
12,"HOFMANN, Fritz","['GER', 'GER', 'GER']","[['Silver', 'Gold', 'Bronze'], [1, 2, 1]]","[['Athens', 'Athens', 'Athens'], [1896, 1896, 1896]]","['Athletics', 'Gymnastics', 'Gymnastics']"
13,"CURTIS, Thomas",['USA'],"[['Gold'], [1]]","[['Athens'], [1896]]",['Athletics']
14,"GOULDING, Grantley",['GBR'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Athletics']
15,"LERMUSIAUX, Albin",['FRA'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Athletics']
16,"FLACK, Edwin","['AUS', 'ZZX']","[['Gold', 'Bronze'], [2, 1]]","[['Athens', 'Athens'], [1896, 1896]]","['Athletics', 'Tennis']"
17,"BLAKE, Arthur",['USA'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Athletics']
18,"GMELIN, Charles",['GBR'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Athletics']
19,"JAMISON, Herbert",['USA'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Athletics']
20,"GOLEMIS, Dimitrios",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Athletics']
21,"DANI, Nandor",['HUN'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Athletics']
22,"VERSIS, Sotirios",['GRE'],"[['Bronze'], [2]]","[['Athens'], [1896]]","['Athletics', 'Weightlifting']"
23,"GARRETT, Robert","['USA', 'USA', 'USA']","[['Silver', 'Gold', 'Bronze'], [2, 2, 2]]","[['Athens', 'Athens', 'Paris'], [1896, 1896, 1900]]","['Athletics', 'Athletics', 'Athletics']"
24,"PARASKEVOPOULOS, Panagiotis",['GRE'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Athletics']
25,"CLARK, Ellery",['USA'],"[['Gold'], [2]]","[['Athens'], [1896]]",['Athletics']
26,"CONNOLLY, James","['USA', 'USA', 'USA']","[['Silver', 'Gold', 'Bronze'], [2, 1, 2]]","[['Athens', 'Paris', 'Athens', 'Athens', 'Paris'], [1896, 1900, 1896, 1896, 1924]]","['Athletics', 'Athletics', 'Athletics']"
27,"KELLNER, Gyula",['HUN'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Athletics']
28,"LOUIS, Spyridon",['GRE'],"[['Gold'], [1]]","[['Athens'], [1896]]",['Athletics']
29,"VASILAKOS, Kharilaos",['GRE'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Athletics']
30,"DAMASKOS, Evangelos",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Athletics']
31,"THEODOROPOULOS, Ioannis",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Athletics']
32,"HOYT, William Welles",['USA'],"[['Gold'], [1]]","[['Athens'], [1896]]",['Athletics']
33,"TYLER, Albert",['USA'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Athletics']
34,"PAPASIDERIS, Georgios",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Athletics']
35,"GOUSKOS, Miltiadis",['GRE'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Athletics']
36,"PERSAKIS, Ioannis",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Athletics']
37,"TUFFERI, Alexandre",['FRA'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Athletics']
38,"BATTEL, Edward",['GBR'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Cycling']
39,"KONSTANTINIDIS, Aristidis",['GRE'],"[['Gold'], [1]]","[['Athens'], [1896]]",['Cycling']
40,"GOEDRICH, August",['GER'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Cycling']
41,"FLAMENG, Léon","['FRA', 'FRA', 'FRA']","[['Silver', 'Gold', 'Bronze'], [1, 1, 1]]","[['Athens', 'Athens', 'Athens'], [1896, 1896, 1896]]","['Cycling', 'Cycling', 'Cycling']"
42,"KOLETTIS, Georgios",['GRE'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Cycling']
43,"SCHMAL, Adolf","['AUT', 'AUT']","[['Gold', 'Bronze'], [1, 2]]","[['Athens', 'Athens'], [1896, 1896]]","['Cycling', 'Cycling']"
44,"MASSON, Paul",['FRA'],"[['Gold'], [3]]","[['Athens'], [1896]]",['Cycling']
45,"KEEPING, Frank",['GBR'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Cycling']
46,"NIKOLOPOULOS, Stamatios",['GRE'],"[['Silver'], [2]]","[['Athens'], [1896]]",['Cycling']
47,"PIERRAKOS-MAVROMICHALIS, Perikles",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Fencing']
48,"GRAVELOTTE, Eugène-Henri",['FRA'],"[['Gold'], [1]]","[['Athens'], [1896]]",['Fencing']
49,"CALLOT, Henri",['FRA'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Fencing']
50,"PYRGOS, Leonidas",['GRE'],"[['Gold'], [1]]","[['Athens'], [1896]]",['Fencing']
51,"PERRONNET, Maurice",['FRA'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Fencing']
52,"NIELSEN, Holger","['DEN', 'DEN']","[['Silver', 'Bronze'], [1, 2]]","[['Athens', 'Athens'], [1896, 1896]]","['Shooting', 'Fencing', 'Shooting']"
53,"GEORGIADIS, Ioannis",['GRE'],"[['Gold'], [1]]","[['Athens'], [1896]]",['Fencing']
54,"KARAKALOS, Telemachos",['GRE'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Fencing']
55,"WEINGÄRTNER, Hermann","['GER', 'GER', 'GER']","[['Silver', 'Gold', 'Bronze'], [2, 3, 1]]","[['Athens', 'Athens', 'Athens'], [1896, 1896, 1896]]","['Gymnastics', 'Gymnastics', 'Gymnastics']"
56,"FLATOW, Alfred","['GER', 'GER']","[['Silver', 'Gold'], [1, 3]]","[['Athens', 'Athens'], [1896, 1896]]","['Gymnastics', 'Gymnastics']"
57,"ZUTTER, Louis","['SUI', 'SUI']","[['Silver', 'Gold'], [2, 1]]","[['Athens', 'Athens'], [1896, 1896]]","['Gymnastics', 'Gymnastics']"
58,"PERSAKIS, Petros","['GRE', 'GRE']","[['Silver', 'Bronze'], [1, 1]]","[['Athens', 'Athens'], [1896, 1896]]","['Gymnastics', 'Gymnastics']"
59,"MITROPOULOS, Ioannis","['GRE', 'GRE']","[['Gold', 'Bronze'], [1, 1]]","[['Athens', 'Athens'], [1896, 1896]]","['Gymnastics', 'Gymnastics']"
60,"ANDRIAKOPOULOS, Nicolaos","['GRE', 'GRE']","[['Silver', 'Gold'], [1, 1]]","[['Athens', 'Athens'], [1896, 1896]]","['Gymnastics', 'Gymnastics']"
61,"XENAKIS, Thomasios",['GRE'],"[['Silver'], [2]]","[['Athens'], [1896]]",['Gymnastics']
62,"BÖCKER, Konrad",['GER'],"[['Gold'], [2]]","[['Athens'], [1896]]",['Gymnastics']
63,"FLATOW, Gustav Felix",['GER'],"[['Gold'], [2]]","[['Athens'], [1896]]",['Gymnastics']
64,"HILMAR, Georg",['GER'],"[['Gold'], [2]]","[['Athens'], [1896]]",['Gymnastics']
65,"MANTEUFFEL, Fritz",['GER'],"[['Gold'], [2]]","[['Athens'], [1896]]",['Gymnastics']
66,"NEUKIRCH, Karl",['GER'],"[['Gold'], [2]]","[['Athens'], [1896]]",['Gymnastics']
67,"RÖSTEL, Richard",['GER'],"[['Gold'], [2]]","[['Athens'], [1896]]",['Gymnastics']
68,"SCHUFT, Gustav",['GER'],"[['Gold'], [2]]","[['Athens'], [1896]]",['Gymnastics']
69,"SCHUMANN, Carl",['GER'],"[['Gold'], [4]]","[['Athens'], [1896]]","['Gymnastics', 'Wrestling']"
70,"CHRYSAPHIS, Ioannis",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Gymnastics']
71,"KARVELAS, Phillippos",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Gymnastics']
72,"LOUNDRAS, Dimitrios",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Gymnastics']
73,"ATHANASOPOULOS, Spyros",['GRE'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Gymnastics']
74,"MORAKIS, Nikolaos",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Shooting']
75,"PAINE, John",['USA'],"[['Gold'], [1]]","[['Athens'], [1896]]",['Shooting']
76,"PAINE, Sumner","['USA', 'USA']","[['Silver', 'Gold'], [1, 1]]","[['Athens', 'Athens'], [1896, 1896]]","['Shooting', 'Shooting']"
77,"PHRANGOUDIS, Joannis","['GRE', 'GRE', 'GRE']","[['Silver', 'Gold', 'Bronze'], [1, 1, 1]]","[['Athens', 'Athens', 'Athens'], [1896, 1896, 1896]]","['Shooting', 'Shooting', 'Shooting']"
78,"ORPHANIDIS, Georgios","['GRE', 'GRE']","[['Silver', 'Gold'], [1, 1]]","[['Athens', 'Athens'], [1896, 1896]]","['Shooting', 'Shooting']"
79,"TRIKUPIS, Nicolaos",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Shooting']
80,"KARASEVDAS, Pantelis",['GRE'],"[['Gold'], [1]]","[['Athens'], [1896]]",['Shooting']
81,"PAVLIDIS, Pavlos",['GRE'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Shooting']
82,"JENSEN, Viggo","['DEN', 'DEN', 'DEN']","[['Silver', 'Gold', 'Bronze'], [1, 1, 1]]","[['Athens', 'Athens', 'Athens'], [1896, 1896, 1896]]","['Weightlifting', 'Weightlifting', 'Shooting']"
83,"ROBERTSON, George Stuart",['ZZX'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Tennis']
84,"BOLAND, John","['ZZX', 'GBR']","[['Gold'], [2]]","[['Athens'], [1896]]",['Tennis']
85,"TRAUN, Friedrich",['ZZX'],"[['Gold'], [1]]","[['Athens'], [1896]]",['Tennis']
86,"KASDAGLIS, Dionysios","['ZZX', 'GRE']","[['Silver'], [2]]","[['Athens'], [1896]]",['Tennis']
87,"PETROKOKKINOS, Demetrios",['ZZX'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Tennis']
88,"PASPATIS, Konstantinos",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Tennis']
89,"TAPAVICZA, Momcsillo",['HUN'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Tennis']
90,"NIKOLOPOULOS, Alexandros",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Weightlifting']
91,"ELLIOTT, Launceston","['GBR', 'GBR']","[['Silver', 'Gold'], [1, 1]]","[['Athens', 'Athens'], [1896, 1896]]","['Weightlifting', 'Weightlifting']"
92,"CHRISTOPOULOS, Stephanos",['GRE'],"[['Bronze'], [1]]","[['Athens'], [1896]]",['Wrestling']
93,"TSITAS, Georgios",['GRE'],"[['Silver'], [1]]","[['Athens'], [1896]]",['Wrestling']
94,"HALMAY, Zoltan","['HUN', 'HUN', 'HUN']","[['Silver', 'Gold', 'Bronze'], [4, 2, 1]]","[['Paris', 'London', 'St Louis', 'Paris'], [1900, 1908, 1904, 1900]]","['Aquatics', 'Aquatics', 'Aquatics']"
95,"JARVIS, John Arthur",['GBR'],"[['Gold'], [2]]","[['Paris'], [1900]]",['Aquatics']
96,"WAHLE, Otto","['AUT', 'AUT']","[['Silver', 'Bronze'], [2, 1]]","[['Paris', 'St Louis'], [1900, 1904]]","['Aquatics', 'Aquatics']"
97,"DROST, Johannes",['NED'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
98,"HOPPENBERG, Ernst",['GER'],"[['Gold'], [2]]","[['Paris'], [1900]]",['Aquatics']
99,"RUBERL, Karl","['AUT', 'AUT']","[['Silver', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1900, 1900]]","['Aquatics', 'Aquatics']"
100,"LANE, Frederick C.V.",['AUS'],"[['Gold'], [2]]","[['Paris'], [1900]]",['Aquatics']
101,"KEMP, Peter","['GBR', 'GBR']","[['Gold', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1900, 1900]]","['Aquatics', 'Aquatics']"
102,HOUBEN,['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
103,"LEUILLIEUX, Jean",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
104,"MARTIN, Louis",['FRA'],"[['Bronze'], [3]]","[['Paris'], [1900]]",['Aquatics']
105,"MERCHEZ, Désiré",['FRA'],"[['Bronze'], [2]]","[['Paris'], [1900]]",['Aquatics']
106,TARTARA,['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
107,"FREY, Julius",['GER'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Aquatics']
108,"HAINLE, Max",['GER'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Aquatics']
109,"SCHÖNE, Max",['GER'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Aquatics']
110,"VON PETERSDORFF, Herbert",['GER'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Aquatics']
111,BERTRAND,['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Aquatics']
112,CADET,['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Aquatics']
113,"HOCHEPIED, Maurice",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Aquatics']
114,"HOCHEPIED, Victor",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Aquatics']
115,VERBECKE,['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Aquatics']
116,"LYKKEBERG, Peder",['DEN'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
117,"DE VENDEVILLE, Charles",['FRA'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Aquatics']
118,"SIX, André",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Aquatics']
119,"BURGESS, Thomas",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
120,COULON,['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
121,"DECUYPER, Alphonse",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
122,DEVENOT,['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
123,FARDELLE,['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
124,FAVIER,['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
125,"LAUFRAY, Louis",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
126,LERICHE,['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
127,"PESLIER, Henri",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
128,PESLOY,['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
129,"TREFFEL, Charles",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
130,"VASSEUR, Paul",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Aquatics']
131,"COE, Thomas",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Aquatics']
132,"DERBYSHIRE, John Henry",['GBR'],"[['Gold'], [2]]","[['Paris', 'London'], [1900, 1908]]",['Aquatics']
133,"LISTER, William",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Aquatics']
134,"ROBERTSON, Arthur",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Aquatics']
135,"ROBINSON, Eric",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Aquatics']
136,"WILKINSON, George",['GBR'],"[['Gold'], [3]]","[['Paris', 'London', 'Stockholm'], [1900, 1908, 1912]]",['Aquatics']
137,"COHEN, Henri",['BEL'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Aquatics']
138,"DE BACKER, Jean",['BEL'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Aquatics']
139,"DE BEHR, Victor",['BEL'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Aquatics']
140,"FEYAERTS, Fernand",['BEL'],"[['Silver'], [2]]","[['Paris', 'London'], [1900, 1908]]",['Aquatics']
141,"GREGOIRE, Oscar","['BEL', 'BEL']","[['Silver', 'Bronze'], [2, 1]]","[['Paris', 'London', 'Stockholm'], [1900, 1908, 1912]]","['Aquatics', 'Aquatics']"
142,"MICHANT, Albert",['BEL'],"[['Silver'], [2]]","[['Paris', 'London'], [1900, 1908]]",['Aquatics']
143,"SONNEMANS, Victor",['BEL'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Aquatics']
144,"PETIT, Charles Frédéric",['FRA'],"[['Bronze'], [2]]","[['Paris'], [1900]]",['Archery']
145,"VAN INNIS, Hubert","['BEL', 'BEL']","[['Silver', 'Gold'], [3, 6]]","[['Paris', 'Antwerp', 'Paris', 'Antwerp'], [1900, 1920, 1900, 1920]]","['Archery', 'Archery']"
146,"THIBAUD, Victor",['FRA'],"[['Silver'], [2]]","[['Paris'], [1900]]",['Archery']
147,"MERCIER, Emile",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Archery']
148,"MOUGIN, Eugène",['FRA'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Archery']
149,"HELLE, Henri",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Archery']
150,"FISSEUX, Emile",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Archery']
151,"HEROUIN, Henri",['FRA'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Archery']
152,"FOULON, Emmanuel",['BEL'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Archery']
153,"DRUART, Jr.",['BEL'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Archery']
154,"SERRURIER, Auguste",['FRA'],"[['Silver'], [2]]","[['Paris'], [1900]]",['Archery']
155,"GLINEUX, Louis",['BEL'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Archery']
156,"GRUMIAUX, Emile",['FRA'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Archery']
157,"ROWLEY, Stanley","['ZZX', 'AUS']","[['Gold', 'Bronze'], [1, 3]]","[['Paris', 'Paris'], [1900, 1900]]","['Athletics', 'Athletics']"
158,"JARVIS, Francis",['USA'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Athletics']
159,"TEWKSBURY, Walter B. John","['USA', 'USA', 'USA']","[['Silver', 'Gold', 'Bronze'], [2, 2, 1]]","[['Paris', 'Paris', 'Paris'], [1900, 1900, 1900]]","['Athletics', 'Athletics', 'Athletics']"
160,"MOLONEY, Frederick",['USA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Athletics']
161,"KRAENZLEIN, Alvin",['USA'],"[['Gold'], [4]]","[['Paris'], [1900]]",['Athletics']
162,"MCLEAN, John",['USA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Athletics']
163,"BRAY, John",['USA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Athletics']
164,"BENNETT, Charles","['GBR', 'GBR', 'ZZX']","[['Silver', 'Gold'], [1, 2]]","[['Paris', 'Paris'], [1900, 1900]]","['Athletics', 'Athletics']"
165,"DELOGE, Henri",['FRA'],"[['Silver'], [2]]","[['Paris'], [1900]]",['Athletics']
166,"PRITCHARD, Norman",['IND'],"[['Silver'], [2]]","[['Paris'], [1900]]",['Athletics']
167,"CHASTANIE, Jacques","['FRA', 'FRA']","[['Silver', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1900, 1900]]","['Athletics', 'Athletics']"
168,"ORTON, George","['CAN', 'CAN']","[['Gold', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1900, 1900]]","['Athletics', 'Athletics']"
169,"ROBINSON, Sidney","['GBR', 'ZZX', 'GBR']","[['Silver', 'Gold', 'Bronze'], [1, 1, 1]]","[['Paris', 'Paris', 'Paris'], [1900, 1900, 1900]]","['Athletics', 'Athletics', 'Athletics']"
170,"RIMMER, John","['GBR', 'ZZX']","[['Gold'], [2]]","[['Paris'], [1900]]",['Athletics']
171,"SCHULTZ, Ernst",['DEN'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Athletics']
172,"LONG, Maxwell W.Maxey",['USA'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Athletics']
173,"HOLLAND, William",['USA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Athletics']
174,"TAUZIN, Henri",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Athletics']
175,"TYSOE, Alfred","['ZZX', 'GBR']","[['Gold'], [2]]","[['Paris'], [1900]]",['Athletics']
176,"CASTANET, André",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Athletics']
177,"CHAMPOUDRY, Michel",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Athletics']
178,"RAGUENEAU, Gaston",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Athletics']
179,"HALL, David",['USA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Athletics']
180,"CREGAN, John",['USA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Athletics']
181,"SHELDON, Richard","['USA', 'USA']","[['Gold', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1900, 1900]]","['Athletics', 'Athletics']"
182,"BAUER, Rudolf",['HUN'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Athletics']
183,"JANDA, Frantisek",['BOH'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Athletics']
184,"MCCRACKEN, Josiah","['USA', 'USA']","[['Silver', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1900, 1900]]","['Athletics', 'Athletics']"
185,"FLANAGAN, John Jesus","['USA', 'USA']","[['Silver', 'Gold'], [1, 3]]","[['St Louis', 'Paris', 'St Louis', 'London'], [1904, 1900, 1904, 1908]]","['Athletics', 'Athletics']"
186,"HARE, Thomas Truxton","['USA', 'USA']","[['Silver', 'Bronze'], [1, 1]]","[['Paris', 'St Louis'], [1900, 1904]]","['Athletics', 'Athletics']"
187,"GÖNCZY, Lajos",['HUN'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Athletics']
188,"BAXTER, Irving","['USA', 'USA']","[['Silver', 'Gold'], [3, 2]]","[['Paris', 'Paris'], [1900, 1900]]","['Athletics', 'Athletics']"
189,"LEAHY, Patrick Joseph","['GBR', 'GBR']","[['Silver', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1900, 1900]]","['Athletics', 'Athletics']"
190,"SHELDON, Lewis Pendleton",['USA'],"[['Bronze'], [2]]","[['Paris'], [1900]]",['Athletics']
191,"EWRY, Ray",['USA'],"[['Gold'], [8]]","[['Paris', 'St Louis', 'London'], [1900, 1904, 1908]]",['Athletics']
192,"PRINSTEIN, Meyer","['USA', 'USA']","[['Silver', 'Gold'], [1, 3]]","[['Paris', 'Paris', 'St Louis'], [1900, 1900, 1904]]","['Athletics', 'Athletics']"
193,"TORCHEBOEUF, Emile",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Athletics']
194,"FAST, Ernst",['SWE'],"[['Bronze'], [1]]","[['Paris'], [1900]]",['Athletics']
195,"THEATO, Michel",['FRA'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Athletics']
196,"CHAMPION, Emile",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Athletics']
197,"ANDERSEN, Carl Albert","['NOR', 'NOR']","[['Silver', 'Bronze'], [1, 1]]","[['London', 'Paris'], [1908, 1900]]","['Gymnastics', 'Athletics']"
198,"COLKETT, Meredith Bright",['USA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Athletics']
199,"De AMEZOLA y ASPIZUA, José",['ESP'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Basque Pelota']
200,"VILLOTA BAQUIOLA, Francisco",['ESP'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Basque Pelota']
201,"DURQUETTY, Maurice",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Basque Pelota']
202,ETCHEGARAY,['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Basque Pelota']
203,"BEACHCROFT, Charles",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Cricket']
204,"BIRKETT, Arthur Ernest",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Cricket']
205,"BOWERMAN, Alfred James",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Cricket']
206,"BUCKLEY, George John",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Cricket']
207,"BURCHELL, Francis Romulus",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Cricket']
208,"CHRISTIAN, Frederick William",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Cricket']
209,"CORNER, Harry Richard",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Cricket']
210,"CUMING, Frederick Wlliam",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Cricket']
211,"DONNE, William Stephen",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Cricket']
212,"POWLESLAND, Alfred James",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Cricket']
213,"SYMES, John",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Cricket']
214,"TOLLER, Montagu Henry",['GBR'],"[['Gold'], [1]]","[['Paris'], [1900]]",['Cricket']
215,"ANDERSON, W.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Cricket']
216,"ATTRILL, W.T.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Cricket']
217,"BRAID, J.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Cricket']
218,"BROWNING, W.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Cricket']
219,"HORNE, R.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Cricket']
220,"JORDAN, T.H.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Cricket']
221,"MCEVOY, A.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Cricket']
222,"ROBINSON, D.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1900]]",['Cricket']
