,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
10583,14,13,27,33,10350,93,0,456,2,1
2585,17,4,27,33,10182,83,0,80,2,2
7874,6,10,25,31,7369,21,0,361,0,0
12298,9,15,12,17,2199,11,0,359,0,2
5998,7,8,10,24,9490,50,0,374,2,1
19609,3,21,0,35,979,95,0,54,0,0
3380,1,5,14,1,8303,48,0,440,0,1
1328,6,3,9,11,2976,31,0,295,0,2
7939,6,10,27,33,2806,20,0,456,2,2
8692,5,11,21,26,3457,83,0,300,0,2
19443,15,20,33,41,10677,3,0,460,0,0
12122,9,15,9,10,2986,61,0,442,0,1
1247,6,3,2,2,5549,95,0,331,0,2
19194,15,20,25,31,13789,93,0,343,0,2
19866,3,21,2,2,8335,95,1,59,1,2
16901,7,19,2,2,5392,32,0,329,0,2
2596,17,4,27,33,100,30,0,268,2,0
18804,15,20,12,17,10972,32,0,359,0,0
9278,8,12,9,11,4219,48,0,299,0,1
13779,12,16,33,41,2193,72,1,460,1,0
18278,15,20,2,2,1420,57,0,49,0,1
2212,17,4,11,15,8962,33,0,464,0,2
9151,8,12,3,3,5963,95,0,314,0,1
19825,3,21,1,0,13088,33,0,375,0,0
11286,18,14,14,1,7411,93,1,379,1,2
10966,18,14,3,3,666,95,0,314,0,1
15339,11,18,0,43,12736,40,0,461,0,0
18476,15,20,3,3,652,93,1,314,1,0
11778,9,15,0,35,2483,13,1,141,1,0
3747,1,5,27,33,14917,64,0,82,2,1
8442,5,11,11,15,2952,48,0,464,0,1
11722,9,15,0,35,6621,95,0,84,0,2
3267,1,5,11,15,2824,61,0,421,0,0
2618,17,4,28,34,11182,30,0,63,0,0
18105,15,20,0,35,8597,95,1,94,1,0
3142,1,5,9,10,8173,83,0,442,0,2
12250,9,15,11,15,578,40,0,421,0,0
8852,5,11,35,44,4617,13,0,231,0,2
1254,6,3,2,2,12363,40,0,368,0,2
12099,9,15,6,6,3606,32,1,292,1,1
15923,11,18,14,1,2971,11,0,371,0,1
5487,0,7,14,1,3004,97,0,459,0,0
18873,15,20,14,1,13244,34,0,407,0,0
9158,8,12,3,3,7429,93,0,314,0,2
9614,8,12,25,31,2421,95,0,343,0,1
6220,7,8,25,31,12213,70,0,405,0,2
4925,13,6,28,34,5610,30,0,450,0,2
16632,7,19,0,35,1918,95,0,92,0,1
5371,0,7,12,17,418,94,0,359,0,1
448,13,1,25,31,5185,95,0,343,0,1
1382,6,3,12,17,1268,21,0,359,0,2
14972,10,17,25,31,7246,86,0,415,0,0
9291,8,12,10,13,10181,83,0,438,2,1
19571,15,20,36,46,6315,93,0,48,0,1
7764,6,10,14,1,6335,40,1,440,1,2
15700,11,18,9,10,6350,93,0,442,0,1
1495,6,3,14,1,6012,64,0,440,0,2
14226,10,17,3,3,1960,95,0,314,0,1
14090,10,17,2,2,3430,34,1,91,1,1
1198,6,3,2,2,4210,95,0,75,0,2
1864,6,3,31,38,1919,33,0,340,0,2
15007,10,17,27,33,3079,32,0,353,2,1
9787,8,12,36,46,6339,93,0,243,0,1
11501,18,14,27,33,2907,95,0,341,2,0
19502,15,20,33,41,8155,68,1,460,1,2
5803,7,8,2,2,7178,70,0,49,0,1
8241,5,11,3,3,598,94,0,314,0,0
17972,7,19,35,44,13024,75,0,47,0,2
2819,17,4,36,46,13764,40,0,249,0,0
14520,10,17,11,15,8275,75,0,421,0,0
8017,6,10,36,46,4729,30,0,256,0,2
14013,10,17,0,35,3343,33,0,144,0,0
3956,1,5,28,34,3584,83,0,203,0,2
11293,18,14,14,1,11925,93,0,417,0,0
12983,12,16,2,2,14794,34,1,145,1,1
5413,0,7,14,1,8768,81,0,371,0,1
19985,3,21,2,2,455,29,0,363,0,2
6033,7,8,11,15,1402,31,0,355,0,1
10709,18,14,0,35,6807,95,1,93,1,2
10969,18,14,3,3,1854,95,0,314,0,1
13296,12,16,11,15,6941,93,0,355,0,2
8761,5,11,25,31,3974,21,0,405,0,0
4377,13,6,5,5,3511,33,0,224,0,2
16388,11,18,27,33,3024,40,0,353,2,0
7104,4,9,27,33,7467,33,0,234,2,1
3847,1,5,28,34,6821,30,0,63,0,2
8580,5,11,14,1,3854,81,0,440,0,2
18022,7,19,36,46,8105,48,0,23,0,1
18353,15,20,2,2,5803,32,0,145,0,0
10487,14,13,25,31,13502,93,0,337,0,2
4491,13,6,11,15,2511,7,0,355,0,2
406,13,1,12,17,4126,31,0,359,0,2
328,13,1,7,8,8519,31,0,326,0,2
9974,14,13,2,2,5210,28,1,143,1,2
10618,14,13,35,44,7169,93,0,231,0,1
3481,1,5,14,1,10416,7,0,443,0,0
12949,12,16,2,2,6895,93,0,143,0,2
3417,1,5,14,1,5031,21,0,444,0,1
12485,9,15,25,31,3912,34,0,360,0,1
13561,12,16,16,20,11385,66,0,370,0,2
9902,14,13,0,43,7437,48,0,461,0,1
17820,7,19,27,33,8928,25,0,137,0,1
17445,7,19,15,19,408,97,0,364,0,1
15833,11,18,11,15,835,31,1,355,1,1
14950,10,17,25,31,6195,34,0,405,0,1
17347,7,19,12,17,11507,10,0,359,0,2
17388,7,19,14,1,4246,95,0,440,0,1
4589,13,6,14,1,12778,86,0,379,0,0
12203,9,15,11,15,9246,40,0,464,0,1
15429,11,18,2,2,3430,34,1,143,1,1
1282,6,3,2,2,88,33,0,452,0,1
3491,1,5,14,1,1130,83,0,443,0,1
7516,6,10,6,6,8407,64,0,290,0,2
9285,8,12,10,13,5097,21,1,374,2,2
18573,15,20,6,6,10879,31,0,282,0,0
6796,4,9,12,17,3909,48,0,359,0,1
17816,7,19,25,31,4259,95,1,426,1,2
1970,17,4,0,35,71,5,1,141,1,0
10047,14,13,2,2,11650,70,0,452,0,1
13417,12,16,14,1,7451,93,1,379,1,0
1500,6,3,14,1,7517,64,0,440,0,2
17346,7,19,12,17,11159,10,0,359,0,2
13670,12,16,25,31,4783,34,0,405,0,1
12424,9,15,16,20,10060,4,0,370,0,2
17700,7,19,25,31,2454,61,1,343,1,0
4900,13,6,28,34,2436,31,0,162,0,1
6737,4,9,11,15,3501,40,1,354,1,1
19191,15,20,25,31,7961,93,0,343,0,2
14093,10,17,2,2,774,58,0,101,0,1
7118,4,9,27,33,2851,48,0,268,2,1
17382,7,19,14,1,6240,50,0,440,0,0
9313,8,12,10,24,2645,48,0,374,2,2
19658,3,21,0,35,4907,95,1,95,1,1
12084,9,15,6,6,14351,40,0,281,0,2
17566,7,19,16,20,2116,95,1,370,1,0
11232,18,14,12,17,13547,28,0,359,0,0
12615,9,15,33,41,7077,70,1,460,1,0
2184,17,4,10,24,11177,83,0,438,2,1
17942,7,19,33,41,12732,15,1,460,1,1
19306,15,20,25,31,4301,11,1,426,1,0
4605,13,6,14,1,11834,31,0,297,0,1
13696,12,16,27,33,14260,83,0,351,2,2
12516,9,15,25,31,13711,61,0,405,0,2
13306,12,16,11,15,9575,93,1,355,1,1
6954,4,9,16,20,4790,61,0,370,0,0
6560,4,9,3,3,12832,95,0,314,0,1
8740,5,11,25,31,13409,97,0,360,0,1
16595,7,19,0,12,14596,95,1,73,1,0
742,16,2,2,2,5169,95,0,83,0,0
11629,18,14,35,44,7155,93,0,231,0,2
12149,9,15,9,11,451,21,0,299,0,1
14280,10,17,3,3,9627,95,1,314,1,2
11784,9,15,0,35,10083,95,1,141,1,1
6702,4,9,10,24,10763,75,0,374,2,2
13562,12,16,16,20,11977,66,0,370,0,2
18074,15,20,0,35,4011,11,1,55,1,2
10421,14,13,14,1,7411,93,1,459,1,0
10049,14,13,3,3,1123,10,0,314,0,0
9123,8,12,2,2,12208,86,0,424,0,0
2381,17,4,14,1,5684,30,0,444,0,2
7819,6,10,21,26,4846,83,0,284,0,0
16688,7,19,0,35,14884,32,1,141,1,0
19515,15,20,35,44,9346,32,0,1,0,2
12380,9,15,14,1,1991,86,1,458,1,1
12429,9,15,16,20,12253,4,0,370,0,2
18518,15,20,5,5,7629,13,0,15,0,1
4758,13,6,26,32,2601,95,0,419,0,1
11745,9,15,0,35,8724,95,1,95,1,1
4023,1,5,29,16,6091,33,1,406,2,0
15422,11,18,2,2,14558,70,0,143,0,2
19652,3,21,0,35,11485,95,1,94,1,1
18383,15,20,2,2,3565,51,0,259,0,1
19302,15,20,25,31,8465,93,1,415,1,2
14187,10,17,2,2,820,32,1,382,1,2
3846,1,5,28,34,9743,64,0,63,0,1
11803,9,15,0,35,7007,32,1,142,1,0
1846,6,3,29,16,1729,35,0,406,2,1
13692,12,16,27,33,937,95,0,351,2,1
10385,14,13,14,1,106,50,0,440,0,1
14380,10,17,6,6,9033,93,0,293,0,1
15420,11,18,2,2,3335,70,0,143,0,2
19210,15,20,25,31,12671,34,1,343,1,1
17468,7,19,15,19,11765,32,0,364,0,2
3558,1,5,16,20,7543,33,0,370,0,1
14971,10,17,25,31,5227,86,0,415,0,0
14600,10,17,14,1,6365,50,0,379,0,2
10562,14,13,27,33,4988,21,0,149,2,2
16177,11,18,19,23,12349,93,0,195,0,1
3715,1,5,27,33,5506,64,0,67,2,1
12156,9,15,9,11,7745,32,0,299,0,2
15073,10,17,33,41,3587,93,0,460,0,2
975,16,2,14,1,8694,95,0,413,0,0
2511,17,4,25,31,1724,33,0,343,0,2
15902,11,18,12,17,9353,34,0,359,0,2
3312,1,5,12,17,12833,7,0,359,0,1
3681,1,5,26,32,1970,95,0,419,0,1
8211,5,11,2,2,1478,76,1,368,1,1
17645,7,19,21,26,10777,83,0,284,0,2
1929,6,3,36,46,14238,40,0,17,0,1
13508,12,16,15,19,6716,86,0,364,0,2
18096,15,20,0,35,7868,25,0,93,0,0
16594,7,19,0,12,6595,95,0,73,0,2
16502,11,18,35,44,4980,72,0,28,0,0
3738,1,5,27,33,14920,64,0,81,2,1
973,16,2,14,1,3655,95,0,407,0,1
15192,10,17,36,46,11300,75,0,213,0,2
13209,12,16,9,11,6404,33,0,299,0,0
18019,7,19,36,45,621,95,0,272,0,1
3027,1,5,2,2,9556,95,0,132,0,2
6789,4,9,12,17,8365,64,0,359,0,0
11533,18,14,28,34,4632,95,0,159,0,2
6502,4,9,2,2,1953,95,0,330,0,1
4341,13,6,2,2,4572,95,0,386,0,2
19420,15,20,31,38,6796,32,1,339,1,0
19660,3,21,0,35,2634,40,0,97,0,0
11862,9,15,2,2,13069,51,0,49,0,1
4010,1,5,28,34,12238,64,0,362,0,2
1980,17,4,0,35,11176,35,1,141,1,2
12844,12,16,0,35,1727,93,0,144,0,0
8488,5,11,11,15,6958,40,0,421,0,1
15897,11,18,12,17,5576,34,0,359,0,2
13048,12,16,3,3,196,20,0,314,0,0
9597,8,12,25,31,14532,4,0,337,0,0
7875,6,10,25,31,7373,21,0,361,0,0
13568,12,16,19,23,6389,50,0,38,0,1
7731,6,10,14,1,5633,30,0,440,0,1
1737,6,3,28,34,12828,83,0,63,0,1
3215,1,5,11,15,1668,31,0,464,0,0
886,16,2,12,17,9624,95,0,359,0,0
14924,10,17,25,31,11741,34,0,361,0,2
12066,9,15,5,5,7267,93,0,225,0,1
3180,1,5,10,14,1834,48,0,438,2,2
13713,12,16,27,33,8734,32,0,456,2,0
4679,13,6,25,31,12442,95,0,343,0,1
13301,12,16,11,15,4842,75,1,355,1,0
14789,10,17,16,20,12301,4,0,370,0,2
11565,18,14,33,41,13826,93,0,460,0,1
2732,17,4,28,34,11388,64,0,362,0,2
19612,3,21,0,35,7908,95,1,54,1,0
12132,9,15,9,11,3988,21,0,88,0,2
1101,16,2,32,39,1496,95,0,454,0,2
8953,8,12,0,35,9180,76,1,141,1,0
2543,17,4,27,33,11698,77,0,66,2,0
15519,11,18,2,2,11497,93,0,452,0,2
11555,18,14,33,41,1693,93,0,460,0,1
18960,15,20,15,19,6282,52,0,364,0,2
1106,16,2,35,44,7144,95,0,302,0,0
1037,16,2,25,31,11315,95,0,325,0,1
6183,7,8,25,31,4216,48,0,343,0,2
489,13,1,25,31,14203,31,0,361,0,2
6492,4,9,2,2,3446,13,0,259,0,0
9083,8,12,2,2,6075,33,0,259,0,2
1838,6,3,28,34,799,13,0,450,0,2
4950,13,6,35,44,10868,81,0,36,0,0
762,16,2,2,2,10339,95,0,140,0,1
10908,18,14,2,2,484,93,0,329,0,2
5286,0,7,10,24,7116,81,0,374,2,0
17126,7,19,6,6,8897,83,0,293,0,2
9673,8,12,27,33,13206,83,0,149,2,1
2469,17,4,14,1,13108,21,0,443,0,2
9125,8,12,2,2,9400,95,0,424,0,2
4363,13,6,5,5,2052,31,0,151,0,0
7655,6,10,11,15,10731,40,0,421,0,1
19814,3,21,0,43,4180,25,0,461,0,2
3792,1,5,27,33,14568,33,1,257,2,1
2764,17,4,31,38,4449,31,0,340,0,1
3157,1,5,9,11,4522,76,0,299,0,0
3173,1,5,10,14,8911,7,0,438,2,0
16530,11,18,35,44,14777,86,0,273,0,1
17359,7,19,14,1,10899,95,1,352,1,0
2448,17,4,14,1,3688,21,0,443,0,2
10114,14,13,5,5,7267,93,0,225,0,0
14956,10,17,25,31,77,75,1,414,1,0
19454,15,20,33,41,11531,95,0,460,0,1
3288,1,5,12,17,1380,61,0,359,0,0
6618,4,9,6,6,5543,35,0,358,0,2
13596,12,16,21,26,9760,93,0,300,0,1
15392,11,18,2,2,8670,48,0,91,0,1
6699,4,9,10,24,4867,35,0,374,2,1
7605,6,10,11,15,426,31,0,464,0,1
18648,15,20,9,11,6636,93,0,88,0,1
6839,4,9,14,1,9895,30,0,440,0,0
15687,11,18,6,6,8264,34,0,293,0,1
6563,4,9,3,3,186,13,0,314,0,2
10534,14,13,25,31,7788,28,0,361,0,1
7771,6,10,14,1,10012,40,0,459,0,0
13189,12,16,9,10,7770,70,0,442,0,2
1112,16,2,36,45,13127,95,0,22,0,0
5823,7,8,2,2,14441,13,0,129,0,0
7573,6,10,10,14,2157,31,0,374,2,1
17874,7,19,28,34,177,33,0,161,0,0
831,16,2,5,5,3408,95,0,209,0,0
16507,11,18,35,44,11518,93,0,31,0,2
16728,7,19,0,35,7383,95,0,144,0,1
4022,1,5,29,16,1651,64,0,406,2,2
7877,6,10,25,31,9739,21,0,361,0,0
11303,18,14,14,1,5151,50,0,440,0,1
2007,17,4,0,43,14406,33,0,461,0,1
316,13,1,7,8,2451,33,0,326,0,1
2190,17,4,11,15,7461,7,0,463,0,0
12273,9,15,12,17,9675,50,0,359,0,0
11309,18,14,14,1,7583,93,0,440,0,2
10154,14,13,6,6,3995,83,0,291,0,1
1804,6,3,28,34,7488,31,0,362,0,0
10280,14,13,11,15,14715,93,1,355,1,1
13496,12,16,15,19,8865,97,0,364,0,1
5913,7,8,2,2,9810,50,0,452,0,0
19487,15,20,33,41,9469,93,1,460,1,1
12335,9,15,14,1,9257,50,0,407,0,1
5341,0,7,11,15,1098,48,0,421,0,2
18884,15,20,14,1,8894,50,0,440,0,0
7290,6,10,0,43,5500,40,0,461,0,2
19792,3,21,0,43,6825,29,0,461,0,0
15933,11,18,14,1,3120,93,0,407,0,2
3339,1,5,14,1,1786,31,0,440,0,0
18300,15,20,2,2,555,93,1,83,1,2
16230,11,18,25,31,6804,93,0,343,0,0
2099,17,4,2,2,2170,95,0,363,0,0
4113,1,5,36,46,12982,30,0,196,0,2
13291,12,16,11,15,4456,70,0,355,0,1
7484,6,10,5,5,11802,33,0,244,0,2
6728,4,9,11,15,2038,83,0,464,0,2
5261,0,7,9,11,13667,61,0,299,0,2
17750,7,19,25,31,5826,95,0,361,0,2
8536,5,11,14,1,1220,93,1,313,1,1
7447,6,10,3,3,676,31,0,314,0,2
8263,5,11,3,3,8478,95,0,314,0,1
18079,15,20,0,35,9837,34,1,56,1,1
3924,1,5,28,34,3989,95,0,157,0,1
8355,5,11,6,6,5353,30,0,291,0,1
13499,12,16,15,19,10565,97,0,364,0,1
12017,9,15,3,3,12077,95,0,314,0,1
17358,7,19,14,1,7897,15,0,352,0,2
11473,18,14,25,31,9664,28,0,361,0,1
18321,15,20,2,2,9221,34,1,129,1,2
302,13,1,2,2,2395,95,0,452,0,2
17917,7,19,33,41,4006,10,0,460,0,2
10972,18,14,3,3,5161,95,0,314,0,1
621,13,1,28,34,14923,64,0,362,0,2
1977,17,4,0,35,12533,33,1,141,1,1
3011,1,5,2,2,7979,83,0,115,0,0
15333,11,18,0,43,4313,40,0,461,0,0
12859,12,16,0,43,438,95,0,461,0,0
16029,11,18,15,19,5211,34,1,364,1,0
8956,8,12,0,35,2518,4,1,141,1,1
2403,17,4,14,1,1643,64,0,443,0,0
8763,5,11,25,31,12803,21,0,405,0,0
1098,16,2,32,39,8116,95,0,454,0,1
17313,7,19,12,17,9455,97,0,359,0,0
16490,11,18,33,41,1716,34,1,460,1,2
13440,12,16,14,1,13442,50,0,440,0,1
15414,11,18,2,2,9930,31,0,143,0,0
15369,11,18,1,0,1783,93,1,378,1,2
8922,8,12,0,35,3445,33,1,54,1,0
14749,10,17,16,20,6506,66,0,370,0,0
11728,9,15,0,35,12994,13,1,92,1,2
13671,12,16,25,31,7945,34,0,405,0,1
8846,5,11,35,44,11412,93,0,179,0,2
11071,18,14,9,10,11076,21,0,380,0,2
3701,1,5,26,32,1418,31,0,419,0,2
8588,5,11,14,1,2058,86,1,440,1,0
1861,6,3,31,38,11903,83,0,340,0,0
12520,9,15,27,33,110,33,0,149,2,0
11490,18,14,25,31,5822,93,0,426,0,1
17919,7,19,33,41,8954,10,0,460,0,2
15731,11,18,10,13,6971,93,0,374,2,2
2567,17,4,27,33,327,64,0,80,2,1
14433,10,17,10,14,11739,32,0,374,2,0
2874,1,5,0,35,10203,33,0,144,0,0
17623,7,19,19,23,1602,33,0,219,0,0
1883,6,3,32,39,12229,33,0,454,0,0
4402,13,6,9,11,2588,31,0,298,0,0
2227,17,4,11,15,4101,40,0,421,0,1
14805,10,17,19,23,12372,50,0,238,0,1
12599,9,15,33,41,6599,50,0,460,0,2
10760,18,14,0,35,7231,28,0,142,0,2
13073,12,16,3,3,1527,95,0,314,0,2
8820,5,11,28,34,7664,75,0,106,0,0
10360,14,13,14,1,11925,93,0,371,0,0
18200,15,20,0,35,9837,34,1,158,1,1
580,13,1,28,34,12836,61,0,157,0,0
7286,6,10,0,43,2578,40,0,461,0,2
7861,6,10,25,31,4225,95,0,360,0,0
6710,4,9,10,24,4660,61,0,438,2,2
8183,5,11,2,2,11574,35,0,153,0,0
8537,5,11,14,1,4549,93,1,313,1,2
10853,18,14,2,2,2030,95,0,132,0,1
8209,5,11,2,2,14374,95,0,368,0,2
14192,10,17,2,2,13962,34,1,386,1,1
16337,11,18,25,31,7047,93,0,405,0,2
1446,6,3,14,1,6143,83,0,440,0,1
5016,0,7,0,35,14593,95,0,54,0,0
17504,7,19,15,19,6004,52,1,364,1,2
1007,16,2,20,25,1522,13,0,385,0,1
18077,15,20,0,35,1101,95,0,56,0,2
3302,1,5,12,17,733,7,0,359,0,1
11716,9,15,0,35,14117,95,0,57,0,2
12168,9,15,10,13,10279,93,1,438,2,2
9989,14,13,2,2,14857,70,0,153,0,0
13541,12,16,16,20,7014,32,0,370,0,1
1759,6,3,28,34,10346,33,0,150,0,1
13800,12,16,33,41,13469,93,1,460,1,1
12438,9,15,21,26,13510,40,0,300,0,1
9115,8,12,2,2,3344,70,1,386,1,1
12930,12,16,2,2,6028,51,0,114,0,2
5881,7,8,2,2,257,95,0,330,0,1
2930,1,5,1,0,4687,31,0,392,0,0
12721,12,16,0,12,7703,95,0,124,0,0
7549,6,10,9,11,4458,33,0,299,0,0
5767,7,8,0,35,12875,40,0,144,0,0
10681,18,14,0,12,12170,95,0,124,0,1
19036,15,20,16,20,4187,33,0,370,0,1
19989,3,21,2,2,2410,95,0,368,0,0
8568,5,11,14,1,11232,30,0,440,0,0
12718,12,16,0,12,5905,34,1,73,1,0
16352,11,18,25,31,8410,93,1,414,1,2
10597,14,13,28,34,11927,93,0,161,0,1
15405,11,18,2,2,8875,4,0,129,0,2
6142,7,8,16,20,12331,50,0,370,0,2
18695,15,20,10,14,3466,32,0,438,2,1
16261,11,18,25,31,4038,75,1,343,1,0
9912,14,13,0,43,4472,93,0,461,0,2
8175,5,11,2,2,7275,49,0,145,0,1
14189,10,17,2,2,11046,95,0,386,0,1
15849,11,18,11,15,9300,40,0,421,0,0
338,13,1,8,9,6062,31,0,376,0,2
16945,7,19,2,2,9115,4,1,424,1,0
6449,4,9,2,2,7811,13,0,132,0,2
9714,8,12,28,34,12766,83,0,161,0,0
12147,9,15,9,11,8993,48,0,299,0,0
16186,11,18,19,23,3778,20,0,239,0,2
5177,0,7,2,2,5183,95,0,368,0,2
15512,11,18,2,2,6657,93,0,424,0,1
5472,0,7,14,1,13671,61,1,440,1,1
12903,12,16,2,2,13056,95,0,53,0,2
14101,10,17,2,2,12700,34,1,129,1,0
9026,8,12,2,2,6183,93,0,101,0,0
3636,1,5,25,31,2286,95,0,343,0,1
13629,12,16,25,31,13821,65,0,343,0,1
4642,13,6,22,27,14489,33,0,412,0,0
14545,10,17,12,17,9759,93,0,359,0,0
19815,3,21,0,43,4499,25,0,461,0,2
2220,17,4,11,15,2824,61,0,421,0,0
12709,9,15,36,46,12094,97,0,255,0,0
4027,1,5,31,38,2916,31,0,339,0,0
10488,14,13,25,31,5915,86,0,343,0,0
8987,8,12,0,43,1355,40,0,461,0,1
19804,3,21,0,43,2640,48,0,461,0,1
14533,10,17,11,15,8959,48,0,421,0,2
1477,6,3,14,1,14354,83,0,440,0,1
2906,1,5,0,43,4128,7,0,461,0,2
9259,8,12,9,11,12837,76,0,88,0,0
12439,9,15,21,26,7490,93,0,300,0,2
12742,12,16,0,35,4834,40,1,56,1,0
4795,13,6,26,32,3347,31,0,419,0,2
3625,1,5,25,31,331,48,0,337,0,2
19550,15,20,36,45,12286,95,0,186,0,1
19575,15,20,36,46,8886,50,0,139,0,2
1947,17,4,0,12,75,83,0,409,0,1
16512,11,18,35,44,13012,93,0,47,0,1
18828,15,20,12,17,13250,93,0,359,0,1
10345,14,13,12,17,9410,21,0,359,0,2
3213,1,5,11,15,7765,31,0,463,0,2
13966,10,17,0,35,12297,13,1,131,1,0
2371,17,4,14,1,11614,64,0,444,0,1
13196,12,16,9,11,6786,70,0,90,0,0
2276,17,4,14,1,11836,31,0,379,0,2
5082,0,7,0,43,10692,35,0,461,0,1
12613,9,15,33,41,5307,70,1,460,1,0
3560,1,5,16,20,8475,33,0,370,0,1
19249,15,20,25,31,324,75,1,361,1,0
14417,10,17,9,11,9816,93,0,299,0,2
5681,0,7,36,45,8841,81,0,180,0,0
4930,13,6,31,38,1623,31,0,339,0,2
351,13,1,10,24,2807,31,0,374,2,0
19169,15,20,25,31,1725,95,0,343,0,0
3334,1,5,14,1,14758,48,0,379,0,1
13463,12,16,14,1,11666,34,1,440,1,2
2354,17,4,14,1,38,64,0,444,0,1
8010,6,10,36,46,273,83,0,227,0,1
7871,6,10,25,31,7375,21,0,360,0,2
15954,11,18,14,1,5250,34,0,440,0,2
13461,12,16,14,1,5939,34,1,440,1,2
14336,10,17,6,6,10241,93,0,281,0,1
5158,0,7,2,2,7922,33,0,259,0,1
12395,9,15,16,20,12133,42,0,370,0,0
5755,7,8,0,35,5626,33,1,141,1,0
10478,14,13,25,31,1336,93,0,325,0,1
7209,6,10,0,12,3519,95,1,73,1,2
2349,17,4,14,1,9742,21,0,444,0,0
2837,1,5,0,35,1189,7,0,54,0,0
17754,7,19,25,31,1476,4,1,361,1,0
6682,4,9,10,13,2786,31,0,438,2,2
14848,10,17,25,31,3409,65,0,343,0,0
11754,9,15,0,35,1756,95,0,131,0,1
14833,10,17,25,31,1017,34,0,337,0,0
14861,10,17,25,31,10610,34,0,343,0,1
547,13,1,26,32,14346,33,0,419,0,2
8564,5,11,14,1,7276,30,0,440,0,0
15633,11,18,5,5,11122,20,0,248,0,0
521,13,1,26,32,1040,35,0,419,0,2
19023,15,20,16,20,6871,61,0,370,0,0
16316,11,18,25,31,6294,34,1,361,1,1
2307,17,4,14,1,7839,48,0,440,0,1
12922,12,16,2,2,12885,70,1,91,1,0
16207,11,18,21,26,12510,93,0,300,0,1
14467,10,17,11,15,4369,81,0,464,0,0
19778,3,21,0,36,9705,50,1,342,1,0
4946,13,6,31,38,2324,31,0,428,0,2
13602,12,16,25,31,12635,61,0,325,0,0
1047,16,2,25,31,404,95,0,343,0,1
15203,10,17,36,46,589,93,0,272,0,1
1896,6,3,32,39,1779,33,0,454,0,2
6194,7,8,25,31,159,35,0,360,0,2
9292,8,12,10,13,11400,83,0,438,2,1
19911,3,21,2,2,8867,95,0,143,0,1
6470,4,9,2,2,1591,33,1,143,1,2
10736,18,14,0,35,14363,28,0,141,0,2
17979,7,19,35,44,2258,75,0,231,0,0
7730,6,10,14,1,2,30,0,440,0,1
7999,6,10,36,46,9484,83,0,13,0,2
16472,11,18,33,41,4470,11,1,460,1,0
9205,8,12,5,5,9143,93,0,248,0,0
4068,1,5,32,39,5921,61,0,454,0,2
10855,18,14,2,2,2949,31,0,143,0,0
4126,13,6,0,12,10355,95,0,124,0,0
772,16,2,2,2,3865,95,0,183,0,2
5555,0,7,25,31,9215,35,0,325,0,1
18640,15,20,9,10,7140,34,0,442,0,1
13231,12,16,10,14,6200,83,0,374,2,0
16192,11,18,19,23,9595,61,0,265,0,0
3237,1,5,11,15,4451,7,0,464,0,2
12062,9,15,5,5,14521,34,0,217,0,1
6530,4,9,2,2,9491,50,0,411,0,2
17109,7,19,6,6,8897,83,0,292,0,2
566,13,1,27,33,8751,31,0,401,2,0
16927,7,19,2,2,7624,95,0,386,0,1
19171,15,20,25,31,9529,95,0,343,0,0
2557,17,4,27,33,7725,30,0,66,2,2
1325,6,3,9,11,11612,31,0,153,0,2
6893,4,9,15,19,5299,81,0,364,0,0
19944,3,21,2,2,8354,20,0,145,0,2
3300,1,5,12,17,14000,61,0,359,0,0
7814,6,10,16,20,10057,33,0,370,0,2
4007,1,5,28,34,9279,64,0,362,0,2
8993,8,12,0,43,8295,40,0,461,0,1
16049,11,18,15,19,8143,93,1,364,1,1
1485,6,3,14,1,1440,64,0,440,0,2
8823,5,11,28,34,13594,93,0,117,0,0
8928,8,12,0,35,2089,4,0,57,0,0
17452,7,19,15,19,8896,97,0,364,0,1
15103,10,17,33,41,14646,50,1,460,1,1
7985,6,10,36,45,8689,95,0,227,0,0
15293,11,18,0,35,4517,33,0,142,0,0
12725,12,16,0,12,6611,95,1,124,1,1
17268,7,19,11,15,1587,31,1,355,1,0
6101,7,8,14,1,6034,95,0,440,0,2
15275,11,18,0,35,12038,93,0,133,0,1
13214,12,16,9,11,11727,32,0,299,0,1
19810,3,21,0,43,10512,48,0,461,0,1
3410,1,5,14,1,13946,7,0,440,0,2
7087,4,9,25,31,64,35,0,405,0,1
2544,17,4,27,33,12672,77,0,66,2,0
15683,11,18,6,6,8196,11,0,293,0,0
6922,4,9,15,19,9124,35,0,364,0,1
9296,8,12,10,13,14309,28,1,438,2,2
4613,13,6,14,1,10817,81,0,440,0,0
4644,13,6,22,27,8797,3,0,412,0,1
11740,9,15,0,35,7732,34,1,94,1,2
1589,6,3,23,28,1586,33,0,374,0,0
11889,9,15,2,2,3625,95,0,129,0,1
14549,10,17,12,17,13846,93,0,359,0,0
10804,18,14,0,43,6861,40,0,461,0,1
13773,12,16,33,41,11742,34,0,460,0,2
13649,12,16,25,31,8820,65,0,360,0,2
12458,9,15,25,31,8367,93,0,343,0,0
15122,10,17,35,44,9601,11,0,31,0,1
2970,1,5,1,0,2947,7,0,394,0,1
10978,18,14,3,3,133,93,0,314,0,2
10441,14,13,16,20,720,66,0,370,0,1
903,16,2,12,17,5894,95,0,359,0,1
607,13,1,28,34,8100,21,0,308,0,1
763,16,2,2,2,13545,95,0,140,0,1
19180,15,20,25,31,9195,32,0,343,0,1
